index,link,name,CR,XP,alignment,size,type,init,senses,perception,AC,touch,flat_footed,HP,HD,fortitude,reflex,will,speed,burrow,climb,fly,swim,highest_attack_bonus,melee_attacks_num,melee_median_dmg,ranged_attacks_num,ranged_median_dmg,space,reach,strength,dexterity,constitution,intelligence,wisdom,charisma,BAB,CMB,CMD,feats_num,skills_num
0,https://www.d20pfsrd.com/bestiary/monster-listings/animals/bat/bat,Common Bat,0.125,50,N,Diminutive,Animal,2.0,2,6.0,16.0,16.0,14.0,2.0,1.0,0.0,4.0,2.0,5,0,0,40,0,6,1,0.0,0,0.0,1.0,0,1.0,15.0,6.0,2.0,14.0,5.0,0.0,-2.0,3.0,1,2
1,https://www.d20pfsrd.com/bestiary/monster-listings/vermin/centipede/centipede-house,House Centipede,0.125,50,N,Tiny,Vermin,3.0,1,4.0,17.0,15.0,14.0,4.0,1.0,2.0,3.0,0.0,40,0,40,0,0,5,1,0.0,0,0.0,2.5,0,1.0,17.0,10.0,NULL,10.0,2.0,0.0,1.0,6.0,0,3
2,https://www.d20pfsrd.com/bestiary/monster-listings/animals/hedgehog,Hedgehog,0.125,50,N,Diminutive,Animal,3.0,1,1.0,18.0,17.0,15.0,2.0,1.0,0.0,5.0,1.0,20,0,0,0,0,0,0,0.0,0,0.0,1.0,0,1.0,16.0,6.0,2.0,12.0,7.0,0.0,-1.0,4.0,1,3
3,https://www.d20pfsrd.com/bestiary/monster-listings/vermin/isopod-giant,Giant Isopod,0.125,50,N,Tiny,Vermin,-1.0,2,0.0,14.0,11.0,14.0,6.0,1.0,4.0,-1.0,0.0,20,0,0,0,0,-1,1,0.0,0,0.0,2.5,0,5.0,9.0,14.0,NULL,11.0,2.0,0.0,-3.0,4.0,0,1
4,https://www.d20pfsrd.com/bestiary/monster-listings/animals/skunk,Skunk,0.25,100,N,Tiny,Animal,2.0,2,5.0,14.0,14.0,12.0,3.0,1.0,1.0,4.0,1.0,30,0,0,0,0,4,2,0.0,0,0.0,2.5,2,3.0,15.0,9.0,2.0,12.0,6.0,0.0,0.0,6.0,1,1
5,https://www.d20pfsrd.com/bestiary/monster-listings/animals/skunk/skunk-giant,Giant Skunk,3.0,800,N,Large,Animal,3.0,2,7.0,15.0,12.0,12.0,27.0,5.0,5.0,7.0,2.0,30,0,0,0,0,5,2,7.5,0,0.0,10.0,5,17.0,16.0,13.0,2.0,12.0,9.0,3.0,7.0,20.0,3,3
6,https://www.d20pfsrd.com/bestiary/monster-listings/animals/toad,Toad,0.125,50,N,Diminutive,Animal,1.0,2,5.0,15.0,15.0,14.0,2.0,1.0,0.0,3.0,2.0,5,0,0,0,0,0,0,0.0,0,0.0,1.0,0,1.0,12.0,6.0,1.0,15.0,4.0,0.0,-3.0,2.0,1,2
7,https://www.d20pfsrd.com/bestiary/monster-listings/animals/toad/toad-giant,Giant Toad,2.0,600,N,Large,Animal,1.0,2,8.0,14.0,10.0,13.0,22.0,3.0,6.0,6.0,0.0,30,0,0,0,0,5,1,10.0,0,0.0,10.0,10,19.0,13.0,16.0,1.0,8.0,6.0,2.0,7.0,18.0,2,4
8,https://www.d20pfsrd.com/bestiary/monster-listings/animals/fish/quipper,Quipper,0.125,50,N,Fine,Animal,2.0,2,8.0,20.0,20.0,18.0,4.0,1.0,2.0,4.0,1.0,0,0,0,0,0,10,1,0.0,0,0.0,1.0,0,6.0,15.0,10.0,1.0,12.0,3.0,0.0,-6.0,2.0,1,2
9,https://www.d20pfsrd.com/bestiary/monster-listings/animals/lizard/lizard-common,Lizard,0.16666666666666666,65,N,Tiny,Animal,2.0,1,1.0,14.0,14.0,12.0,3.0,1.0,1.0,4.0,1.0,20,0,20,0,0,4,1,0.0,0,0.0,2.5,0,3.0,15.0,8.0,1.0,12.0,2.0,0.0,0.0,6.0,1,3
